model,dataset,num_GOs,num_layers,nhead,ffw_dim,dropout,given_mask,mask,n_shot,train_acc,val_acc,test_acc
transformer_encoder,tabula_muris,1,1,2,128,0.0,True,True,1,87.36,82.18,82.84
transformer_encoder,tabula_muris,10,1,2,64,0.0,True,True,5,97.23,93.56,93.79
transformer_encoder,tabula_muris,10,1,2,64,0.0,True,True,1,89.2,85.91,86.51
transformer_encoder,tabula_muris,1,1,2,128,0.0,True,True,5,96.28,93.06,93.19
transformer_encoder,tabula_muris,10,1,2,128,0.0,True,True,5,97.07,93.8,94.37
transformer_encoder,tabula_muris,1,1,2,64,0.0,True,True,1,87.68,81.63,83.42
transformer_encoder,tabula_muris,1,1,2,64,0.0,True,True,5,94.98,93.38,93.86
transformer_encoder,tabula_muris,10,1,2,128,0.0,True,True,1,89.86,84.52,86.11
transformer_encoder,tabula_muris,1,1,2,256,0.0,True,True,5,95.65,92.76,93.47
transformer_encoder,tabula_muris,1,1,2,256,0.0,True,True,1,88.47,83.05,82.91
transformer_encoder,swissprot,10,1,2,128,0.0,True,True,5,78.39,72.43,66.11
transformer_encoder,swissprot,10,1,2,64,0.0,True,True,5,68.82,71.32,63.9
transformer_encoder,swissprot,10,1,2,64,0.0,True,True,1,52.06,56.51,52.52
transformer_encoder,swissprot,10,1,2,128,0.0,True,True,1,56.36,57.42,53.24
transformer_encoder,tabula_muris,10,1,2,256,0.0,True,True,1,92.07,84.42,85.02
transformer_encoder,tabula_muris,10,1,2,256,0.0,True,True,5,95.69,94.37,94.56
transformer_encoder,swissprot,10,1,2,256,0.0,True,True,5,72.04,74.14,65.44
transformer_encoder,tabula_muris,20,1,2,64,0.0,True,True,1,89.6,84.3,86.35
transformer_encoder,swissprot,10,1,2,256,0.0,True,True,1,49.76,56.6,53.92
transformer_encoder,tabula_muris,20,1,2,64,0.0,True,True,5,95.68,94.66,94.38
transformer_encoder,swissprot,20,1,2,64,0.0,True,True,5,72.01,73.42,65.1
transformer_encoder,swissprot,20,1,2,64,0.0,True,True,1,50.63,55.62,53.92
transformer_encoder,tabula_muris,20,1,2,128,0.0,True,True,1,88.81,84.6,85.01
transformer_encoder,tabula_muris,20,1,2,128,0.0,True,True,5,95.87,94.55,94.04
transformer_encoder,swissprot,20,1,2,128,0.0,True,True,1,53.44,56.54,53.7
transformer_encoder,swissprot,20,1,2,128,0.0,True,True,5,73.61,72.97,64.49
transformer_encoder,tabula_muris,20,1,2,256,0.0,True,True,1,91.57,84.91,85.74
transformer_encoder,tabula_muris,20,1,2,256,0.0,True,True,5,95.6,94.48,95.05
transformer_encoder,swissprot,20,1,2,256,0.0,True,True,1,56.96,56.41,54.22
transformer_encoder,swissprot,20,1,2,256,0.0,True,True,5,83.24,72.89,63.07
transformer_encoder,tabula_muris,40,1,2,64,0.0,True,True,5,96.34,94.45,94.31
transformer_encoder,tabula_muris,40,1,2,64,0.0,True,True,1,88.08,84.58,84.47
transformer_encoder,swissprot,40,1,2,64,0.0,True,True,5,75.21,71.98,63.46
transformer_encoder,swissprot,40,1,2,64,0.0,True,True,1,52.22,54.38,54.06
transformer_encoder,tabula_muris,40,1,2,128,0.0,True,True,5,96.46,94.4,94.29
transformer_encoder,tabula_muris,40,1,2,128,0.0,True,True,1,88.26,85.19,84.87
transformer_encoder,swissprot,40,1,2,128,0.0,True,True,5,75.14,72.77,64.31
transformer_encoder,swissprot,40,1,2,128,0.0,True,True,1,51.58,54.48,53.27
transformer_encoder,tabula_muris,40,1,2,256,0.0,True,True,1,89.28,85.39,84.07
transformer_encoder,tabula_muris,40,1,2,256,0.0,True,True,5,96.11,93.91,94.59
transformer_encoder,swissprot,40,1,2,256,0.0,True,True,5,74.84,72.88,65.41
transformer_encoder,swissprot,40,1,2,256,0.0,True,True,1,53.04,55.45,52.82
